,V1,V2
1,PressSec,WhiteHouse
2,PressSec,Scavino45
3,PressSec,KellyannePolls
4,PressSec,IngrahamAngle
5,PressSec,seanhannity
6,PressSec,foxandfriends
7,TuckerCarlson,IngrahamAngle
8,TuckerCarlson,seanhannity
9,TuckerCarlson,AnnCoulter
10,JesseBWatters,Scavino45
11,JesseBWatters,KellyannePolls
12,JesseBWatters,TiffanyATrump
13,JesseBWatters,LaraLeaTrump
14,JesseBWatters,seanhannity
15,JesseBWatters,foxnation
16,JesseBWatters,DiamondandSilk
17,JesseBWatters,KatrinaPierson
18,JesseBWatters,MichaelCohen212
19,JesseBWatters,foxandfriends
20,JesseBWatters,GeraldoRivera
21,JesseBWatters,ericbolling
22,WhiteHouse,Scavino45
23,WhiteHouse,KellyannePolls
24,Scavino45,KellyannePolls
25,Scavino45,LaraLeaTrump
26,Scavino45,seanhannity
27,Scavino45,foxnation
28,Scavino45,ericbolling
29,KellyannePolls,Reince
30,KellyannePolls,TiffanyATrump
31,KellyannePolls,IngrahamAngle
32,KellyannePolls,mike_pence
33,KellyannePolls,TeamTrump
34,KellyannePolls,MrsVanessaTrump
35,KellyannePolls,LaraLeaTrump
36,KellyannePolls,seanhannity
37,KellyannePolls,CLewandowski_
38,KellyannePolls,DiamondandSilk
39,KellyannePolls,KatrinaPierson
40,KellyannePolls,MichaelCohen212
41,KellyannePolls,foxandfriends
42,KellyannePolls,ericbolling
43,Reince,IngrahamAngle
44,Reince,seanhannity
45,RealRomaDowney,IngrahamAngle
46,RealRomaDowney,seanhannity
47,RealRomaDowney,foxandfriends
48,RealRomaDowney,MarkBurnettTV
49,Trump,TrumpGolf
50,Trump,TiffanyATrump
51,Trump,MrsVanessaTrump
52,TrumpGolf,MrsVanessaTrump
53,TrumpGolf,LaraLeaTrump
54,TiffanyATrump,mike_pence
55,TiffanyATrump,MrsVanessaTrump
56,TiffanyATrump,LaraLeaTrump
57,TiffanyATrump,seanhannity
58,TiffanyATrump,DiamondandSilk
59,IngrahamAngle,seanhannity
60,IngrahamAngle,CLewandowski_
61,IngrahamAngle,ericbolling
62,mike_pence,TeamTrump
63,mike_pence,MrsVanessaTrump
64,mike_pence,LaraLeaTrump
65,mike_pence,CLewandowski_
66,TeamTrump,LaraLeaTrump
67,TeamTrump,KatrinaPierson
68,MrsVanessaTrump,LaraLeaTrump
69,MrsVanessaTrump,seanhannity
70,MrsVanessaTrump,CLewandowski_
71,MrsVanessaTrump,KatrinaPierson
72,MrsVanessaTrump,MichaelCohen212
73,MrsVanessaTrump,foxandfriends
74,LaraLeaTrump,seanhannity
75,LaraLeaTrump,CLewandowski_
76,LaraLeaTrump,DiamondandSilk
77,LaraLeaTrump,KatrinaCampins
78,LaraLeaTrump,KatrinaPierson
79,LaraLeaTrump,foxandfriends
80,LaraLeaTrump,GeraldoRivera
81,seanhannity,foxnation
82,seanhannity,CLewandowski_
83,seanhannity,DiamondandSilk
84,seanhannity,KatrinaCampins
85,seanhannity,KatrinaPierson
86,seanhannity,MichaelCohen212
87,seanhannity,foxandfriends
88,seanhannity,GeraldoRivera
89,seanhannity,ericbolling
90,foxnation,KatrinaPierson
91,foxnation,foxandfriends
92,foxnation,ericbolling
93,CLewandowski_,AnnCoulter
94,CLewandowski_,DiamondandSilk
95,CLewandowski_,KatrinaPierson
96,AnnCoulter,MichaelCohen212
97,DiamondandSilk,KatrinaPierson
98,DiamondandSilk,MichaelCohen212
99,KatrinaCampins,KatrinaPierson
100,KatrinaCampins,MichaelCohen212
101,KatrinaCampins,foxandfriends
102,KatrinaPierson,MichaelCohen212
103,KatrinaPierson,foxandfriends
104,KatrinaPierson,ericbolling
105,MichaelCohen212,ericbolling
106,foxandfriends,MELANIATRUMP
107,foxandfriends,GeraldoRivera
108,foxandfriends,ericbolling
109,GeraldoRivera,ericbolling
